SDO_SP_ID,DIV_CODE,CIR_SP_ID,ZON_SP_ID,SDO_NAME,DIV_NAME,CIRCLE_NAME,ZONE_NAME,DISCOM
SDO2229412,DIV222941,CIR22294,ZNE22,2229412-EDSD II TIRWA,EDD KANNAUJ,EDC KANNAUJ,KANPUR,DVVNL
SDO2229214,DIV222921,CIR22292,ZNE22,2229214-EDSD IV JAHANGANJ,EDD FARRUKKHABAD,EDC FARRUKHABAD,KANPUR,DVVNL
SDO2229222,DIV222922,CIR22292,ZNE22,2229222-EDSD NAWABGANJ,EDD KAYAMGANJ,EDC FARRUKHABAD,KANPUR,DVVNL
SDO2233213,DIV223321,CIR22332,ZNE22,2233213-EDSD RASOOLABAD,EDD JIJHAK,EDC KANPUR DEHAT,KANPUR,DVVNL
SDO2230523,DIV223052,CIR22305,ZNE22,2230523-EDSD III ROOPPUR SAHAR,EDD DIBIAPUR,EDC AURAIYA,KANPUR,DVVNL
SDO2233223,DIV223322,CIR22332,ZNE22,2233223-EDSD III JAINPUR,EDD KANPUR DEHAT,EDC KANPUR DEHAT,KANPUR,DVVNL
SDO2233112,DIV223311,CIR22331,ZNE22,2233112-EDSD II SAJETI,EDD-Ghatampur,EDC I KANPUR,KANPUR,DVVNL
SDO2230514,DIV223051,CIR22305,ZNE22,2230514-EDSD I AURAIYA,EDD AURAIYA,EDC AURAIYA,KANPUR,DVVNL
SDO2230513,DIV223051,CIR22305,ZNE22,2230513-EDSD BHAGAUTIPUR,EDD AURAIYA,EDC AURAIYA,KANPUR,DVVNL
SDO2233212,DIV223321,CIR22332,ZNE22,2233212-EDSD MATHA,EDD JIJHAK,EDC KANPUR DEHAT,KANPUR,DVVNL
SDO2230333,DIV223033,CIR22303,ZNE22,2230333-EDSD I BAKEWAR,EDD ETAWAH,EDC ETAWAH,KANPUR,DVVNL
SDO2233132,DIV223313,CIR22331,ZNE22,2233132-EDSD II BILHAUR,EDD CHAUBEPUR,EDC I KANPUR,KANPUR,DVVNL
SDO2233133,DIV223313,CIR22331,ZNE22,2233133-EDSD III SHIVRAJPUR,EDD CHAUBEPUR,EDC I KANPUR,KANPUR,DVVNL
SDO2230321,DIV223032,CIR22303,ZNE22,2230321-EDSD I JASWANTNAGAR,EDD SAIFAI ETAWAH,EDC ETAWAH,KANPUR,DVVNL
SDO2233231,DIV223323,CIR22332,ZNE22,2233231-EDSD I AKBARPUR,EDD PUKHRAYAN,EDC KANPUR DEHAT,KANPUR,DVVNL
SDO2230322,DIV223032,CIR22303,ZNE22,2230322-EDSD II SAIFAI,EDD SAIFAI ETAWAH,EDC ETAWAH,KANPUR,DVVNL
SDO2230332,DIV223033,CIR22303,ZNE22,2230332-EDSD III CHAKARNAGAR,EDD ETAWAH,EDC ETAWAH,KANPUR,DVVNL
SDO2230512,DIV223051,CIR22305,ZNE22,2230512-EDSD AJITMAL,EDD AURAIYA,EDC AURAIYA,KANPUR,DVVNL
SDO2233131,DIV223313,CIR22331,ZNE22,2233131-EDSD I CHAUBEPUR,EDD CHAUBEPUR,EDC I KANPUR,KANPUR,DVVNL
SDO2230524,DIV223052,CIR22305,ZNE22,2230524-EDSD IV ACHHALDA,EDD DIBIAPUR,EDC AURAIYA,KANPUR,DVVNL
SDO2229413,DIV222941,CIR22294,ZNE22,2229413-EDSD I KANNAUJ,EDD KANNAUJ,EDC KANNAUJ,KANPUR,DVVNL
SDO2229423,DIV222942,CIR22294,ZNE22,2229423-EDSD III SAURIKH,EDD CHHIBRAMAU,EDC KANNAUJ,KANPUR,DVVNL
SDO2233232,DIV223323,CIR22332,ZNE22,2233232-EDSD II PUKHRAYAN,EDD PUKHRAYAN,EDC KANPUR DEHAT,KANPUR,DVVNL
SDO2233123,DIV223312,CIR22331,ZNE22,2233123-EDSD III SARSAUL,EDD I KANPUR,EDC I KANPUR,KANPUR,DVVNL
SDO2229425,DIV222942,CIR22294,ZNE22,2229425-EDSD V TALGRAM,EDD CHHIBRAMAU,EDC KANNAUJ,KANPUR,DVVNL
SDO2229211,DIV222921,CIR22292,ZNE22,2229211-EDSD I FATEHGARH,EDD FARRUKKHABAD,EDC FARRUKHABAD,KANPUR,DVVNL
SDO2229424,DIV222942,CIR22294,ZNE22,2229424-EDSD IV SIKANDARPUR,EDD CHHIBRAMAU,EDC KANNAUJ,KANPUR,DVVNL
SDO2233222,DIV223322,CIR22332,ZNE22,2233222-EDSD II RURA,EDD KANPUR DEHAT,EDC KANPUR DEHAT,KANPUR,DVVNL
SDO2233121,DIV223312,CIR22331,ZNE22,2233121-EDSD I KANPUR NAGAR,EDD I KANPUR,EDC I KANPUR,KANPUR,DVVNL
SDO2230522,DIV223052,CIR22305,ZNE22,2230522-EDSD II BIDHUNA,EDD DIBIAPUR,EDC AURAIYA,KANPUR,DVVNL
SDO2229414,DIV222941,CIR22294,ZNE22,2229414-EDSD IV THATHIYA,EDD KANNAUJ,EDC KANNAUJ,KANPUR,DVVNL
SDO2230334,DIV223033,CIR22303,ZNE22,2230334-EDSD IV UDI,EDD ETAWAH,EDC ETAWAH,KANPUR,DVVNL
