ACCT_ID,BILL_ID,BILL_DATE,EC,FC,LPSC,MIN_CHARGES,ELECTRICITY_DUTY,CURRENT_ASSESSMENT,CURRENT_CYCLE_LPSC
2141646981,214058861304,14-OCT-2024,0.35,5950.29,1234.95,0,297.53,7964.04,1233.38
5589807000,558229678737,16-OCT-2024,0,11641.48,124207.85,0,582.07,16496.42,3328.97
2787094890,278332235650,17-OCT-2024,684.98,3184.31,,0,190.69,4668.04,294.33
5855097076,585557147030,06-OCT-2024,813931.5,23988.49,299966.77,0,38864.59,1001930.91,46474.37
2148208951,214986572347,11-OCT-2024,5101.48,7642.35,2648.18,0,799.44,23412.06,1518.51
3483908958,348870434736,17-OCT-2024,1754.91,5394.6,,0,514.05,15406.21,615.46
6169056000,616260434128,16-OCT-2024,11781.96,7629.86,616653.19,0,922.83,46575.67,24667.09
5855097076,585853110793,06-NOV-2024,813931.5,23151.82,346441.14,0,38732.31,1013130.39,65885.88
2787094890,278883056821,22-NOV-2024,602.76,3184.31,294.33,0,186.91,4941.55,660.51
2141646981,214560680029,07-NOV-2024,2767.31,7230.26,2468.33,0,627.03,17807.8,837.58
3483908958,348946405729,19-NOV-2024,2816.35,5394.6,615.46,0,562.82,17268.33,1281.31
2148208951,214640442710,07-NOV-2024,2436.99,7217.77,4166.69,0,609.88,17965.6,1437.14
6169056000,616776159384,10-NOV-2024,7317.69,7336.41,641320.28,0,703.04,39726.55,23181.24
5589807000,558287257093,22-NOV-2024,0,11641.48,127536.82,0,582.07,17966.55,4799.1
5855097076,585487367670,08-DEC-2024,813931.5,20129.85,412327.02,0,38403.35,1020246.71,80155.41
6169056000,616369928682,10-DEC-2024,13146.61,6474.77,664501.52,0,927.77,50391.71,28251.64
2141646981,214385479007,03-DEC-2024,2.97,4461.16,3305.91,0,223.19,6251.44,1202.16
5589807000,558187071687,23-DEC-2024,0,11641.48,132335.92,0,582.07,17340.44,4172.99
2787094890,278695612964,20-DEC-2024,7.21,4198.93,0,0,244.7,5632.42,0
2148208951,214661176733,10-DEC-2024,5473.69,7174.07,5603.83,0,742.5,19198.58,2136.83
3483908958,348477742563,20-DEC-2024,14.15,4158.34,1896.77,0,238.6,6539.14,1188.99
5589807000,558579149499,13-JAN-2025,32904.56,11641.48,136508.91,0,2093.91,53238.27,2986.48
6169056000,616283164716,07-JAN-2025,13589.94,5944.05,692753.16,0,921.61,48770.55,26731.11
2787094890,278405672379,10-JAN-2025,44937.3,3880.5,0,0,2258.71,55047.77,13.06
5855097076,585119962143,07-JAN-2025,813931.5,16130.73,492482.43,0,38203.39,1027927.32,92359.35
2141646981,214696929765,02-JAN-2025,2.48,4461.16,4508.07,0,223.17,6592.68,1543.95
3483908958,348679814680,17-JAN-2025,1953.04,5347.78,3085.76,0,515.75,13114.62,1533.59
2148208951,214563107253,10-JAN-2025,3969.99,7679.81,7740.66,0,753.37,19448.02,2360.77
5855097076,585127688361,07-FEB-2025,813931.5,16130.73,584841.78,0,38203.39,1049251.88,113683.91
2141646981,214233916326,02-FEB-2025,30.85,4461.16,6052.02,0,224.48,6786.01,1705.3
5589807000,558494834108,17-FEB-2025,164522.81,11641.48,62556.39,0,8141.23,204277.09,5687.98
3483908958,348417090804,07-FEB-2025,3137.61,6312.43,4619.35,0,722.69,17393.82,1196.62
6169056000,616215322036,17-FEB-2025,24887.17,7629.86,642383.27,0,1524.96,76434.59,39756.08
2787094890,278654001791,06-FEB-2025,1805.22,5806.69,13.06,0,581.51,13278.14,302.79
2148208951,214777035491,06-FEB-2025,4710.66,7523.72,10101.43,0,762.72,19732.26,2341.18
2141646981,214163677458,02-MAR-2025,4809.23,7361.38,7757.32,0,741.58,18636.21,1686.21
2787094890,278771740360,06-MAR-2025,3879.7,5903.47,315.85,0,692.13,16310.51,667.98
6169056000,616309856040,15-MAR-2025,27371.71,11447.92,642383.27,0,1830.02,75055.34,65300.14
2148208951,214674466162,12-MAR-2025,17033.66,7273.97,12442.61,0,1289.43,33743.89,3313.94
3483908958,348200198165,08-MAR-2025,4720.57,5603.77,5815.97,0,683.38,17360.41,1789.58
5855097076,585473921142,05-MAR-2025,813931.5,21553.42,698525.69,0,38479.59,1051460.81,109653.02
5589807000,558766181610,15-MAR-2025,27031.27,11641.48,62556.39,0,1824.05,48959.83,5327.4
2148208951,214181039824,09-APR-2025,17175.9,7736.01,15756.55,0,1386.85,32210.06,3086.16
3483908958,348942875974,07-APR-2025,5904.42,5634.99,7605.55,0,752.22,17876.74,2080.22
2141646981,214508536554,03-APR-2025,7.71,4461.16,9443.53,0,226.18,6865.6,2115.77
6169056000,616074277596,19-APR-2025,13522.71,7629.86,707683.41,0,1015.92,56044.17,34709.83
5589807000,558774041615,17-APR-2025,27031.27,11641.48,73571.77,0,1848.03,47356.29,8547.7
2787094890,278530465450,05-APR-2025,8205.83,7317.67,983.83,0,1128.73,24595.22,891.93
2141646981,214323176040,08-MAY-2025,3669.1,7261.48,11559.3,0,659.64,16350.96,2498.55
2148208951,214536498949,10-MAY-2025,1812.94,8029.46,18842.71,0,695.21,18541.25,3941.89
2787094890,278940794971,06-MAY-2025,3449.39,5819.17,1862.7,0,645.57,15037.42,1480.43
5589807000,558589101323,14-MAY-2025,27031.27,11641.48,65071.94,0,1785.38,44421,6928.06
3483908958,348916850944,07-MAY-2025,7016.11,5588.16,9685.77,0,770.09,18388.21,2216.4
6169056000,616150398528,14-MAY-2025,13522.71,7629.86,613928.41,0,981.65,45807.5,25192.77
2141646981,214398703915,02-JUN-2025,2899,7199.04,14057.85,0,655.47,15663.74,1898.8
6169056000,616125206522,20-JUN-2025,13367.04,7629.86,673831.01,0,1040.48,59537.16,37687.02
3483908958,348355226224,06-JUN-2025,11265.39,5575.67,11902.17,0,1023.43,23568.33,2076.38
2787094890,278846873532,05-JUN-2025,6738.99,9459.28,3343.13,0,1446.04,31722.07,1355.2
5589807000,558220524488,20-JUN-2025,26712.84,11641.48,80547.7,0,1891.31,50611.79,10894.34
2148208951,214175646937,18-JUN-2025,7858.81,4461.16,22784.6,0,610.44,18315.87,5496.6
3483908958,348188141513,06-JUL-2025,5158.59,5447.68,13978.55,0,692.61,16980.44,2435.62
2148208951,214135036851,06-JUL-2025,13043.23,8316.67,22784.6,0,1092.6,91771.63,2727.09
5589807000,558320251328,19-JUL-2025,26295.34,11641.48,80547.7,0,1827.61,47658.91,9279.18
2787094890,278882629155,29-JUL-2025,3088.69,9521.72,4698.33,0,1241.43,29155.24,3625.68
2141646981,214672512557,01-JUL-2025,0,5950.29,15956.65,0,303.38,8875.14,2504.25
6169056000,616524188431,19-JUL-2025,12949.54,7629.86,673831.01,0,996.74,51009.32,30077.73
3483908958,348724783564,07-AUG-2025,7623.23,5591.28,16414.17,0,790.46,19694.59,2976.49
2141646981,214382810300,06-AUG-2025,9557.37,7298.94,18460.9,0,919.22,22736.11,3307.46
6169056000,616719338432,18-AUG-2025,2700.45,7629.86,711518.03,0,497.48,41595.01,31564.08
2148208951,214697480646,16-AUG-2025,13766.94,7711.03,31008.29,0,973.1,27812.78,6970.38
1859636000,185755181574,12-AUG-2025,216750,6075,3172386.73,0,15501.15,405646.8,152546.69
5589807000,558506504076,18-AUG-2025,4284,11641.48,91442.04,0,766.02,25885.96,10422.21
2787094890,278325262390,23-AUG-2025,76.5,8116.87,4698.33,0,869.16,19570.79,1970.75
3483908958,348589652250,06-SEP-2025,16445.21,6365.51,19390.66,0,1379.05,31558.67,3114.77
2148208951,214540820331,09-SEP-2025,7337.96,7211.53,37978.67,0,716.34,18800.17,4341.83
2787094890,278135020626,15-SEP-2025,68.85,8116.87,8324.01,0,887.3,19997.96,2022.72
5589807000,558151414958,19-SEP-2025,29245.95,11644.59,100721.22,0,1980.13,52454.38,11815.81
1859636000,185663203725,23-SEP-2025,103313.25,35402.06,3324933.42,0,6633.33,-1288667.04,-391954.88
6759926000,675005734147,04-SEP-2025,0,49500,26854.51,0,2532.92,57653.97,4462.75
6169056000,616644570335,19-SEP-2025,14642.1,7629.86,741595.76,0,1083.46,56196.17,34062.08
2141646981,214518335862,02-SEP-2025,10449.36,7205.29,21768.36,0,962.95,23135.75,2714.28
